Date,State,Latitude,Longitude,Confirmed,Active,Deaths,Mortality_rate,Cured,Recovery_rate
2020/03/19,Rajasthan,27.0238,74.2179,7,4,0,0.0,3,0.4285714285714285
2020/03/19,Tamil Nadu,11.1271,78.6569,2,1,0,0.0,1,0.5
2020/03/19,Telengana,18.1124,79.0193,6,5,0,0.0,1,0.1666666666666666
2020/03/19,Chandigarh,30.7333,76.7794,1,1,0,0.0,0,0.0
2020/03/19,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
2020/03/19,Ladakh,34.2996,78.2932,8,8,0,0.0,0,0.0
2020/03/19,Uttar Pradesh,26.8467,80.9462,19,10,0,0.0,9,0.4736842105263157
2020/03/19,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
2020/03/19,West Bengal,22.9868,87.855,1,1,0,0.0,0,0.0
2020/03/20,Andhra Pradesh,15.9129,79.74,2,2,0,0.0,0,0.0
2020/03/20,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
2020/03/20,Delhi,28.7041,77.1025,17,13,1,0.0588235294117647,3,0.1764705882352941
2020/03/20,Gujarat,22.2587,71.1924,2,2,0,0.0,0,0.0
2020/03/20,Haryana,29.0588,76.0856,17,17,0,0.0,0,0.0
2020/03/20,Karnataka,15.3173,75.7139,15,14,1,0.0666666666666666,0,0.0
2020/03/20,Kerala,10.8505,76.2711,28,25,0,0.0,3,0.1071428571428571
2020/03/20,Maharashtra,19.7515,75.7139,47,46,1,0.0212765957446808,0,0.0
2020/03/20,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
2020/03/20,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
2020/03/20,Punjab,31.1471,75.3412,2,1,1,0.5,0,0.0
2020/03/20,Rajasthan,27.0238,74.2179,7,4,0,0.0,3,0.4285714285714285
2020/03/20,Tamil Nadu,11.1271,78.6569,3,2,0,0.0,1,0.3333333333333333
2020/03/20,Telengana,18.1124,79.0193,16,15,0,0.0,1,0.0625
2020/03/20,Chandigarh,30.7333,76.7794,1,1,0,0.0,0,0.0
2020/03/20,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
2020/03/20,Ladakh,34.2996,78.2932,10,10,0,0.0,0,0.0
2020/03/20,Uttar Pradesh,26.8467,80.9462,19,10,0,0.0,9,0.4736842105263157
2020/03/20,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
2020/03/20,West Bengal,22.9868,87.855,1,1,0,0.0,0,0.0
2020/03/21,Andhra Pradesh,15.9129,79.74,3,3,0,0.0,0,0.0
2020/03/21,Chandigarh,30.7333,76.7794,1,1,0,0.0,0,0.0
2020/03/21,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
2020/03/21,Delhi,28.7041,77.1025,26,20,1,0.0384615384615384,5,0.1923076923076923
2020/03/21,Gujarat,22.2587,71.1924,7,7,0,0.0,0,0.0
2020/03/21,Haryana,29.0588,76.0856,17,17,0,0.0,0,0.0
2020/03/21,Himachal Pradesh,31.1048,77.1734,2,2,0,0.0,0,0.0
2020/03/21,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
2020/03/21,Karnataka,15.3173,75.7139,15,13,1,0.0666666666666666,1,0.0666666666666666
2020/03/21,Kerala,10.8505,76.2711,40,37,0,0.0,3,0.075
2020/03/21,Ladakh,34.2996,78.2932,13,13,0,0.0,0,0.0
2020/03/21,Madhya Pradesh,22.9734,78.6569,4,4,0,0.0,0,0.0
2020/03/21,Maharashtra,19.7515,75.7139,63,62,1,0.0158730158730158,0,0.0
2020/03/21,Odisha,20.9517,85.0985,2,2,0,0.0,0,0.0
2020/03/21,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
2020/03/21,Punjab,31.1471,75.3412,13,12,1,0.0769230769230769,0,0.0
2020/03/21,Rajasthan,27.0238,74.2179,17,14,0,0.0,3,0.1764705882352941
2020/03/21,Tamil Nadu,11.1271,78.6569,3,2,0,0.0,1,0.3333333333333333
2020/03/21,Telengana,18.1124,79.0193,21,20,0,0.0,1,0.0476190476190476
2020/03/21,Uttar Pradesh,26.8467,80.9462,24,15,0,0.0,9,0.375
2020/03/21,Uttarakhand,30.0668,79.0193,3,3,0,0.0,0,0.0
2020/03/21,West Bengal,22.9868,87.855,3,3,0,0.0,0,0.0
2020/03/22,Andhra Pradesh,15.9129,79.74,5,5,0,0.0,0,0.0
2020/03/22,Bihar,25.0961,85.3131,2,1,1,0.5,0,0.0
2020/03/22,Chandigarh,30.7333,76.7794,5,5,0,0.0,0,0.0
2020/03/22,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
2020/03/22,Delhi,28.7041,77.1025,29,23,1,0.0344827586206896,5,0.1724137931034483
2020/03/22,Gujarat,22.2587,71.1924,18,17,1,0.0555555555555555,0,0.0
2020/03/22,Haryana,29.0588,76.0856,21,21,0,0.0,0,0.0
2020/03/22,Himachal Pradesh,31.1048,77.1734,2,2,0,0.0,0,0.0
2020/03/22,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
2020/03/22,Karnataka,15.3173,75.7139,26,23,1,0.0384615384615384,2,0.0769230769230769
2020/03/22,Kerala,10.8505,76.2711,52,49,0,0.0,3,0.0576923076923076
2020/03/22,Ladakh,34.2996,78.2932,13,13,0,0.0,0,0.0
2020/03/22,Madhya Pradesh,22.9734,78.6569,4,4,0,0.0,0,0.0
2020/03/22,Maharashtra,19.7515,75.7139,67,65,2,0.0298507462686567,0,0.0
2020/03/22,Odisha,20.9517,85.0985,2,2,0,0.0,0,0.0
2020/03/22,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
2020/03/22,Punjab,31.1471,75.3412,21,20,1,0.0476190476190476,0,0.0
2020/03/22,Rajasthan,27.0238,74.2179,24,21,0,0.0,3,0.125
2020/03/22,Tamil Nadu,11.1271,78.6569,7,6,0,0.0,1,0.1428571428571428
2020/03/22,Telengana,18.1124,79.0193,22,21,0,0.0,1,0.0454545454545454
2020/03/22,Uttar Pradesh,26.8467,80.9462,27,18,0,0.0,9,0.3333333333333333
2020/03/22,Uttarakhand,30.0668,79.0193,3,3,0,0.0,0,0.0
2020/03/22,West Bengal,22.9868,87.855,4,4,0,0.0,0,0.0
2020/03/23,Andhra Pradesh,15.9129,79.74,7,7,0,0.0,0,0.0
2020/03/23,Bihar,25.0961,85.3131,2,1,1,0.5,0,0.0
2020/03/23,Chandigarh,30.7333,76.7794,6,6,0,0.0,0,0.0
2020/03/23,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
2020/03/23,Delhi,28.7041,77.1025,29,23,1,0.0344827586206896,5,0.1724137931034483
2020/03/23,Gujarat,22.2587,71.1924,29,28,1,0.0344827586206896,0,0.0
2020/03/23,Haryana,29.0588,76.0856,26,15,0,0.0,11,0.4230769230769231
2020/03/23,Himachal Pradesh,31.1048,77.1734,2,2,0,0.0,0,0.0
2020/03/23,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
2020/03/23,Karnataka,15.3173,75.7139,33,30,1,0.0303030303030303,2,0.0606060606060606
2020/03/23,Kerala,10.8505,76.2711,67,64,0,0.0,3,0.044776119402985
2020/03/23,Ladakh,34.2996,78.2932,13,13,0,0.0,0,0.0
2020/03/23,Madhya Pradesh,22.9734,78.6569,6,6,0,0.0,0,0.0
2020/03/23,Maharashtra,19.7515,75.7139,74,72,2,0.027027027027027,0,0.0
2020/03/23,Odisha,20.9517,85.0985,2,2,0,0.0,0,0.0
2020/03/23,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
2020/03/23,Punjab,31.1471,75.3412,21,20,1,0.0476190476190476,0,0.0
2020/03/23,Rajasthan,27.0238,74.2179,28,25,0,0.0,3,0.1071428571428571
2020/03/23,Tamil Nadu,11.1271,78.6569,9,8,0,0.0,1,0.1111111111111111
2020/03/23,Telengana,18.1124,79.0193,32,31,0,0.0,1,0.03125
2020/03/23,Uttar Pradesh,26.8467,80.9462,31,22,0,0.0,9,0.2903225806451613
2020/03/23,Uttarakhand,30.0668,79.0193,3,3,0,0.0,0,0.0
2020/03/23,West Bengal,22.9868,87.855,7,6,1,0.1428571428571428,0,0.0
2020/03/24,Andhra Pradesh,15.9129,79.74,8,8,0,0.0,0,0.0
2020/03/24,Bihar,25.0961,85.3131,3,2,1,0.3333333333333333,0,0.0
2020/03/24,Chandigarh,30.7333,76.7794,7,7,0,0.0,0,0.0
2020/03/24,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
2020/03/24,Delhi,28.7041,77.1025,30,22,2,0.0666666666666666,6,0.2
2020/03/24,Gujarat,22.2587,71.1924,33,32,1,0.0303030303030303,0,0.0
2020/03/24,Haryana,29.0588,76.0856,28,17,0,0.0,11,0.3928571428571428
2020/03/24,Himachal Pradesh,31.1048,77.1734,3,2,1,0.3333333333333333,0,0.0
2020/03/24,Jammu and Kashmir,33.7782,76.5762,4,4,0,0.0,0,0.0
2020/03/24,Karnataka,15.3173,75.7139,37,33,1,0.027027027027027,3,0.081081081081081
2020/03/24,Kerala,10.8505,76.2711,95,91,0,0.0,4,0.0421052631578947
2020/03/24,Ladakh,34.2996,78.2932,13,13,0,0.0,0,0.0
2020/03/24,Madhya Pradesh,22.9734,78.6569,7,7,0,0.0,0,0.0
2020/03/24,Maharashtra,19.7515,75.7139,89,87,2,0.0224719101123595,0,0.0
2020/03/24,Manipur,24.6637,93.9063,1,1,0,0.0,0,0.0
2020/03/24,Odisha,20.9517,85.0985,2,2,0,0.0,0,0.0
2020/03/24,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
2020/03/24,Punjab,31.1471,75.3412,29,28,1,0.0344827586206896,0,0.0
2020/03/24,Rajasthan,27.0238,74.2179,32,29,0,0.0,3,0.09375
2020/03/24,Tamil Nadu,11.1271,78.6569,15,14,0,0.0,1,0.0666666666666666
2020/03/24,Telengana,18.1124,79.0193,35,34,0,0.0,1,0.0285714285714285
